COUNTRY,ISO3 CODE,REGION,INCOME GROUP,2015 HDI,HDI classification,Cigarette consumption,Key code,Symbol
Andorra,AND,EURO,HIGH,0.858,Very high,6398.300002522733,5,1
Lux. ,LUX,EURO,HIGH,0.898,Very high,6330.872750712081,5,1
Belarus,BLR,EURO,MIDDLE,0.796,High,2911.2978985952655,5,1
FYR Macedonia,MKD,EURO,MIDDLE,0.748,High,2784.928250574675,5,
Albania,ALB,EURO,MIDDLE,0.764,High,2491.5992322199995,5,1
Belgium,BEL,EURO,HIGH,0.896,Very high,2440.8800008620838,5,1
Czech Rep.,CZE,EURO,HIGH,0.878,Very high,2427.8827371808447,5,1
Jordan,JOR,EMRO,MIDDLE,0.742,High,2306.093102078368,5,1
Russian Federation,RUS,EURO,MIDDLE,0.804,Very high,2294.962234150326,5,
Syrian Arab Rep. ,SYR,EMRO,MIDDLE,0.536,Low,2291.742622656829,5,1
Slovenia,SVN,EURO,HIGH,0.89,Very high,2236.4799658607426,5,1
Greece,GRC,EURO,HIGH,0.866,Very high,2078.553483505814,5,
Hungary,HUN,EURO,HIGH,0.836,Very high,2060.339485951757,5,
China,CHN,WPRO,MIDDLE,0.738,High,2043.006553174234,5,1
Lebanon,LBN,EMRO,MIDDLE,0.763,High,2037.53503604229,5,
Armenia,ARM,EURO,MIDDLE,0.743,High,1985.6677955381485,4,
Mongolia,MNG,WPRO,MIDDLE,0.735,High,1982.4528398626446,4,
Cyprus,CYP,EURO,HIGH,0.856,Very high,1961.3522997014945,4,
Austria,AUT,EURO,HIGH,0.893,Very high,1926.9517635654615,4,
Georgia,GEO,EURO,MIDDLE,0.769,High,1917.724953514579,4,
Serbia ,SRB,EURO,MIDDLE,0.776,High,1898.5708869868868,4,
Ukraine,UKR,EURO,MIDDLE,0.743,High,1849.405074048131,4,
Kazakhstan,KAZ,EURO,MIDDLE,0.794,High,1800.8767345446743,4,
Turkey,TUR,EURO,MIDDLE,0.767,High,1770.7291578002632,4,
Bosnia and Herzegovina,BIH,EURO,MIDDLE,0.75,High,1767.1583887001427,4,
Estonia,EST,EURO,HIGH,0.865,Very high,1759.9091575533218,4,
Bulgaria,BGR,EURO,MIDDLE,0.794,High,1757.2527772785252,4,
Rep. Moldova,MDA,EURO,MIDDLE,0.699,Medium,1747.2176123975007,4,
Papua New Guinea,PNG,WPRO,MIDDLE,0.516,Low,1689.3009785547736,4,
Indonesia,IDN,SEARO,MIDDLE,0.689,Medium,1675.4881594129404,4,
Rep. Korea,KOR,WPRO,HIGH,0.901,Very high,1667.391870011329,4,
Germany,DEU,EURO,HIGH,0.926,Very high,1599.516213156961,4,
Japan,JPN,WPRO,HIGH,0.903,Very high,1583.164555604487,4,
Tunisia,TUN,EMRO,MIDDLE,0.725,High,1579.9501798848546,4,
Croatia,HRV,EURO,HIGH,0.827,Very high,1578.8814215726293,4,
Malta,MLT,EURO,HIGH,0.856,Very high,1527.9003009230466,4,
Azerbaijan,AZE,EURO,MIDDLE,0.759,High,1525.566906361876,4,
Slovakia,SVK,EURO,HIGH,0.845,Very high,1500.8983830324444,4,
Spain,ESP,EURO,HIGH,0.884,Very high,1498.9936155660512,3,
Italy,ITA,EURO,HIGH,0.887,Very high,1493.2703623975358,3,
Switz.,CHE,EURO,HIGH,0.939,Very high,1489.7961212224632,3,
Samoa,WSM,WPRO,MIDDLE,0.704,High,1470.6482641991497,3,
Netherlands,NLD,EURO,HIGH,0.924,Very high,1459.86761707245,3,
Egypt,EGY,EMRO,MIDDLE,0.691,Medium,1449.410417676334,3,
Solomon Islands,SLB,WPRO,MIDDLE,0.515,Low,1419.1271890050698,3,
Kuwait,KWT,EMRO,HIGH,0.8,Very high,1412.6796149419658,3,
Kiribati,KIR,WPRO,MIDDLE,0.588,Medium,1396.0415717309227,3,
Poland,POL,EURO,HIGH,0.855,Very high,1363.1041612924278,3,
Saudi Arabia,SAU,EMRO,HIGH,0.847,Very high,1340.9563218277437,3,
Denmark,DNK,EURO,HIGH,0.925,Very high,1298.0393500525222,3,
Lithuania,LTU,EURO,HIGH,0.848,Very high,1292.016671374515,3,
Israel,ISR,EURO,HIGH,0.899,Very high,1280.7313396099744,3,
Romania,ROU,EURO,MIDDLE,0.802,Very high,1204.2656768921536,3,
Latvia,LVA,EURO,HIGH,0.83,Very high,1189.0852053322803,3,
Iraq,IRQ,EMRO,MIDDLE,0.649,Medium,1184.4391913422276,3,
Argentina,ARG,PAHO,MIDDLE,0.827,Very high,1176.1330820632086,3,
