Rank;Country;Cigarettes 20 Pack 
;;(Marlboro)
1;Australia;15,53
2;New Zealand;13,95
3;Ireland;10,27
4;Norway;10,08
5;United Kingdom;10
6;Iceland;8,22
7;Canada;7,95
8;Singapore;7,86
9;Israel;7,38
10;France;6,85
11;Switzerland;6,24
12;Finland;5,99
13;Netherlands;5,9
14;Belgium;5,56
15;Hong Kong;5,55
16;Germany;5,39
17;United States;5,35
18;Palestinian Territory;5,27
19;Denmark;5,05
20;Sweden;5,01
21;Saudi Arabia;4,89
22;Malta;4,88
23;Sri Lanka;4,66
24;Italy;4,54
25;Austria;4,45
26;Portugal;4,28
27;Spain;4,28
28;Ecuador;4,2
29;United Arab Emirates;4,16
30;Chile;4
31;Greece;3,85
32;Panama;3,82
33;Slovenia;3,42
34;Estonia;3,42
35;Czech Republic;3,34
36;Hungary;3,25
37;Japan;3,23
38;Slovakia;3,21
39;Malaysia;3,17
40;Latvia;3,17
41;Poland;3,17
42;Croatia;3,12
43;Uruguay;3,1
44;Thailand;3,09
45;Romania;3,07
46;Lithuania;3,04
47;South Korea;3,03
48;Dominican Republic;3,02
49;Iran;2,84
50;Peru;2,77
51;India;2,72
52;Jordan;2,69
53;Morocco;2,61
54;Costa Rica;2,52
55;Taiwan;2,47
56;Bulgaria;2,41
57;Montenegro;2,4
58;Bosnia And Herzegovina;2,3
59;China;2,27
60;Serbia;2,17
61;South Africa;2,1
62;Qatar;2,1
63;Albania;2,07
64;Mexico;1,95
65;Turkey;1,82
66;Azerbaijan;1,79
67;Brazil;1,78
68;Lebanon;1,77
69;Egypt;1,71
70;Macedonia;1,7
71;Iraq;1,62
72;Russia;1,61
73;Algeria;1,6
74;Tunisia;1,6
75;Georgia;1,37
76;Nepal;1,35
77;Indonesia;1,33
78;Argentina;1,29
79;Colombia;1,22
80;Philippines;1,17
81;Moldova;1,12
82;Ukraine;1
83;Armenia;0,94
84;Vietnam;0,82
85;Pakistan;0,82
86;Kazakhstan;0,81
