COUNTRY,TITLE OF SURVEY,,YEAR,"REPRESENTATIVE-
NESS","AGE
GROUP
(YEARS)",INDICATOR NO. 1,INDICATOR NO. 2,,,,,,
"",,,,,,DESCRIPTION,PREVALENCE %,,,DESCRIPTION,PREVALENCE %,,
"",,,,,,,MALE,FEMALE,TOTAL,,MALE,FEMALE,TOTAL,,
Albania,Global Youth Tobacco Survey,,2015,National,13–15,Current tobacco use,14.5,6.7,10.7,Current cigarette smoking,8.3,3.6,6.0
Andorra,. . .,,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Armenia,Health Behaviour in School-aged Children,,2013-14,National,15–15,Current tobacco smoking 1,5,1,3,Daily tobacco smoking,4,1,. . .
Austria,Health Behaviour in School-aged Children,,2014,National,15–15,Current tobacco smoking 1,14.2,15.5,15.1,Daily tobacco smoking,9.6,9.6,9.7
Azerbaijan,Global Youth Tobacco Survey,,2016,National,13–15,Current tobacco smoking,11.6,2.3,7.3,Daily tobacco smoking,1.6,0.3,1.0
Belarus,Global Youth Tobacco Survey,,2015,National,13–15,Current tobacco use,9.5,10.1,9.8,Current cigarette smoking,7.2,7.8,7.5
Belgium 2,Health Behaviour in School-aged Children (Flemish Region),,2013-14,Subnational,15–15,Current tobacco smoking 1,10,10,. . .,Daily tobacco smoking,7,7,. . .
Bosnia and Herzegovina,Global Youth Tobacco Survey,,2013,National,13–15,Current tobacco use,18.1,12.6,15.5,Current cigarette smoking,13.4,8.8,11.2
Bulgaria,Global Youth Tobacco Survey,,2015,National,13–15,Current tobacco use,27.4,30.1,28.8,Current cigarette smoking,17.2,23.7,20.4
Croatia,Global Youth Tobacco Survey,,2016,National,13–15,Current cigarette smoking,4.3,2.3,3.3,Current tobacco smoking,16.7,15.1,15.9
Cyprus,Global Youth Tobacco Survey,,2011,National,13–15,Current tobacco use,28.7,10.8,19.5,Current cigarette smoking,20.7,7.5,13.9
Czechia,Global Youth Tobacco Survey,,2016,National,13–15,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
